Köy1;Köy2;Mesafe
Çobanisa;Hacıaliler;5
Çobanisa;Beydili;10
Kuzca;Bucakdere;30
Kuzca;İbişler;31
Kuzca;İncidere;22
Kuzca;Darıbükü;35
Kuzca;Yeniköy;6
Kuzca;Sarayköy;19
Yeniköy;İncidere;24
Yeniköy;Bucakdere;32
Yeniköy;İbişler;33
Yeniköy;Darıbükü;37
Yeniköy;Sarayköy;21
Sarayköy;İncidere;26
Sarayköy;Bucakdere;22
Sarayköy;İbişler;34
Sarayköy;Darıbükü;38
İncidere;Bucakdere;21
İncidere;Darıbükü;6
İncidere;İbişler;22
İncidere;Güldallı;9
İncidere;Belence;14
Bucakdere;Darıbükü;14
Bucakdere;İbişler;9
İbişler;Darıbükü;8
İbişler;Güldallı;13
İbişler;Aşağıyaylabel;13
İbişler;Yukarıyaylabel;16
İbişler;Asagikartoz;9
İbişler;Kesme;19
Güldallı;Belence;20
Güldallı;Yukarıyaylabel;20
Güldallı;Asagikartoz;17
Güldallı;Kesme;27
Güldallı;Aşağıyaylabel;21
Yukarıyaylabel;Aşağıyaylabel;23
Yukarıyaylabel;Asagikartoz;19
Yukarıyaylabel;Kesme;30
Aşağıyaylabel;Asagikartoz;3
Aşağıyaylabel;Kesme;17
Kesme;Çukurca;8
Belence;Koçular;17
Közköy;Koçular;17
Aksu;Karağı;6
Karağı;Koçular;13
Karağı;Koçular;14
Karağı;Terziler;14
Karağı;Yakaafşar;14
Koçular;Terziler;6
Koçular;Yakaafşar;5
Koçular;Katipköy;2
Katipköy;Terziler;7
Katipköy;Yakaafşar;6
Katipköy;Karacahisar;6
Karacahisar;Eldere;11
Terziler;Yakaafşar;3
Yakaafşar;Elecik;3
Yakaafşar;Yakaköy;8
Elecik;Yakaköy;6
Yakaköy;Yenişarbademli;20
Yenişarbademli;Yenice;3
Yenice;Gölkonak;2
Yenice;Pınarbaşı;1
